id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
642,9,37.56,127.06,4877,624,498,607,849,1243,60269
643,12,37.56,127.06,4209,2322,882,324,1348,1672,72198
646,12,37.56,127.06,3636,1450,66,774,1947,1367,72198
647,12,37.6,127.06,8159,3313,113,594,787,926,43485
648,17,37.56,127.06,4190,1269,576,737,1658,1434,60269
650,22,37.6,127.06,6908,2843,635,704,728,1036,41576
652,22,37.56,127.06,5248,2049,1587,844,830,1040,51065
654,12,37.56,127.06,5565,1491,704,323,392,922,51065
656,12,37.6,127.06,6822,618,700,709,714,680,21808
657,15,37.56,127.06,5467,1246,573,374,231,1298,51065
658,12,37.56,127.06,4850,1831,1277,809,939,1386,60269
659,17,37.6,127.06,5802,876,139,352,797,1284,27364
660,12,37.56,127.06,5857,882,237,494,887,1415,32144
661,12,37.6,127.06,7400,1684,756,259,648,256,13114
663,12,37.6,127.06,7298,2559,164,870,719,477,41576
664,12,37.6,127.06,6162,1917,628,489,262,78,51065
665,11,37.6,127.06,7803,3233,265,963,1155,881,43485
666,20,37.6,127.06,7585,3626,365,625,796,1237,43485
667,7,37.6,127.06,6647,944,754,397,429,675,21808
668,10,37.56,127.06,4295,1849,839,230,1229,1832,72198
669,10,37.56,127.06,5218,906,336,448,680,1522,60269
670,9,37.6,127.06,6735,2253,297,294,873,672,41576
671,10,37.56,127,5563,1487,174,185,95,1297,32144
672,17,37.6,127,5704,1368,289,84,121,1281,32144
673,10,37.6,127,6386,509,294,397,760,642,27364
296,15,37.53,126.9,1295,4599,399,911,1257,773,51979
675,10,37.56,127.06,4643,2667,882,834,700,2084,72198
676,9,37.6,127.06,6177,500,364,120,691,991,27364
677,20,37.6,127.06,6002,1050,95,838,311,1225,51065
678,15,37.56,127.06,5266,2656,1144,1062,167,1598,72198
679,10,37.56,127.06,5429,1894,1361,892,836,724,51065
680,15,37.6,127.06,7075,1995,292,310,692,606,43485
681,15,37.6,127.06,5718,1892,1114,668,234,508,51065
700,22,37.53,126.9,2255,4873,186,361,991,1656,156602
701,10,37.53,126.9,3492,6396,742,920,488,1963,156602
702,18,37.53,126.9,3079,6146,798,618,516,2206,156602
703,14,37.53,126.9,2859,5027,57,414,696,3324,156602
704,17,37.53,126.9,3729,4781,320,631,147,2978,182252
706,17,37.53,126.9,4857,4488,209,386,738,2983,123431
707,12,37.5,126.9,4935,3751,589,100,855,2088,182252
708,18,37.53,126.9,3586,4462,777,258,636,3581,182252
709,22,37.5,126.8,6157,3467,1386,475,273,1888,182252
710,10,37.5,126.9,6058,3211,1398,304,154,1601,182252
711,22,37.53,126.9,5335,3964,523,639,652,2294,123431
712,16,37.53,126.8,6161,4124,1337,199,689,2554,123431
713,22,37.53,126.8,5523,6203,1331,97,611,2755,123431
714,12,37.53,126.8,5507,6281,1322,160,701,2733,123431
716,17,37.53,126.9,4103,4127,556,751,758,2566,182252
719,12,37.53,126.9,3517,5539,471,829,733,2220,156602
720,12,37.53,126.8,6692,4139,1651,356,531,3267,123431
722,12,37.53,126.9,4417,4465,419,637,310,3038,182252
723,17,37.53,126.9,2835,5643,561,246,810,2719,156602
724,17,37.5,126.9,5026,3282,759,598,330,1653,182252
725,17,37.53,126.9,4377,4762,500,112,831,2722,123431
726,17,37.53,126.9,3306,5938,1016,412,393,2092,156602
729,12,37.5,126.9,4412,3472,242,502,611,2045,182252
731,12,37.53,126.9,2492,5559,605,478,1183,2874,156602
732,12,37.53,126.8,5175,6047,1098,177,321,1385,123431
733,12,37.5,126.8,7075,4067,1945,695,455,2968,182252
734,12,37.5,126.9,4918,3627,750,218,687,1974,182252
735,12,37.53,126.9,3037,5660,1208,138,462,2050,156602
736,12,37.53,126.8,6049,4717,1408,586,1206,3321,123431
737,12,37.53,126.9,4559,4568,397,251,924,2929,123431
739,17,37.53,126.8,5437,5997,1271,548,224,1563,123431
740,12,37.53,126.8,5160,6342,970,572,536,2409,123431
741,12,37.53,126.8,5386,5791,1351,359,284,1169,123431
742,12,37.56,126.9,2055,4984,88,491,468,947,156602
